text,preprocess_texts,preprocess_texts_no_symboll,tokens
"RT @Mataheri7: صبا یکی از ملیون ها شیرزن ایرانی
#SabaHungerStrike",صبا یکی از ملیون ها شیرزن ایرانی sabahungesike,صبا یکی از ملیون ها شیرزن ایرانی sabahungesike,"['صبا', 'یکی', 'از', 'ملیون', 'ها', 'شیرزن', 'ایرانی', 'sabahungesike']"
"RT @Exo12_Sunshine: ولی وقتی فالوورای توییتر اکسو بیشتر از اس امه...
وقتی معروف ترین گروه اس ام اکسوعه...
وقتی اس ام اینهمه از اکسو درامد د…",ولی وقتی فالوورای توییتر اکسو بیشتر از اس امهوقتی معروف ترین گروه اس ام اکسوعهوقتی اس ام اینهمه از اکسو درامد د,ولی وقتی فالوورای توییتر اکسو بیشتر از اس امهوقتی معروف ترین گروه اس ام اکسوعهوقتی اس ام اینهمه از اکسو درامد د,"['ولی', 'وقتی', 'فالوورای', 'توییتر', 'اکسو', 'بیشتر', 'از', 'اس', 'امهوقتی', 'معروف', 'ترین', 'گروه', 'اس', 'ام', 'اکسوعهوقتی', 'اس', 'ام', 'اینهمه', 'از', 'اکسو', 'درامد', 'د']"
@mamad_1229 اون که مهیاوه رو کشف کرد پس چی,اون که مهیاوه رو کشف کرد پس چی,اون که مهیاوه رو کشف کرد پس چی,"['اون', 'که', 'مهیاوه', 'رو', 'کشف', 'کرد', 'پس', 'چی']"
RT @fatimakhaleghi2: @Blue__Shadow_ هی گایز منو فالو کنید ۵۰ تا بشممم :)))),هی گایز منو فالو کنید ۵۰ تا بشممم,هی گایز منو فالو کنید ۵۰ تا بشممم,"['هی', 'گایز', 'منو', 'فالو', 'کنید', '۵۰', 'تا', 'بشممم']"
@aboli7777 دقیقا کلاس سواد مالی هم همینه... یسریا نمیدونم واقعا چرا همچین کارایی میکنن...پیاماشونو سیو کردم هر وقت… https://t.co/buWKs5brK9,دقیقا کلاس سواد مالی هم همینه یسریا نمیدونم واقعا چرا همچین کارایی میکننپیاماشونو سیو کردم هر وقت,دقیقا کلاس سواد مالی هم همینه یسریا نمیدونم واقعا چرا همچین کارایی میکننپیاماشونو سیو کردم هر وقت,"['دقیقا', 'کلاس', 'سواد', 'مالی', 'هم', 'همینه', 'یسریا', 'نمیدونم', 'واقعا', 'چرا', 'همچین', 'کارایی', 'میکننپیاماشونو', 'سیو', 'کردم', 'هر', 'وقت']"
RT @moh__sen: کاش شرایط مهیا بود می‌رفتم قایق سهراب رو سوراخ می‌کردم.,کاش شرایط مهیا بود می‌رفتم قایق سهراب رو سوراخ می‌کردم,کاش شرایط مهیا بود میرفتم قایق سهراب رو سوراخ میکردم,"['کاش', 'شرایط', 'مهیا', 'بود', 'میرفتم', 'قایق', 'سهراب', 'رو', 'سوراخ', 'میکردم']"
"RT @andia_art: با مردی ازدواج کنید که 
وقتی با هم به مشکلی برمی‌خورید 
بره سمتِ خدا نه زن‌های دیگه!",با مردی ازدواج کنید که وقتی با هم به مشکلی برمی‌خورید بره سمتِ خدا نه زن‌های دیگه,با مردی ازدواج کنید که وقتی با هم به مشکلی برمیخورید بره سمتِ خدا نه زنهای دیگه,"['با', 'مردی', 'ازدواج', 'کنید', 'که', 'وقتی', 'با', 'هم', 'به', 'مشکلی', 'برمیخورید', 'بره', 'سمتِ', 'خدا', 'نه', 'زنهای', 'دیگه']"
"RT @omidvare_boj: نام نویسی ""سید ابراهیم رئیسی"" برای انتخابات ریاست جمهوری
رئیسی خوش آمدی
#رئیسی_متشکریم https://t.co/dHACgHshHj",نام نویسی سید ابراهیم رئیسی برای انتخابات ریاست جمهوریرئیسی خوش آمدی رئیسی متشکریم,نام نویسی سید ابراهیم رئیسی برای انتخابات ریاست جمهوریرئیسی خوش آمدی رئیسی متشکریم,"['نام', 'نویسی', 'سید', 'ابراهیم', 'رئیسی', 'برای', 'انتخابات', 'ریاست', 'جمهوریرئیسی', 'خوش', 'آمدی', 'رئیسی', 'متشکریم']"
"RT @MasihShenavar: @Bahar12348637 @hesamodin1 اینا ريیسی نیاد به حول میافتن چون میدونن بعد اینکه از کار بیکار شدن باید جواب پس بدن....
#محا…",اینا ريیسی نیاد به حول میافتن چون میدونن بعد اینکه از کار بیکار شدن باید جواب پس بدن محا,اینا ريیسی نیاد به حول میافتن چون میدونن بعد اینکه از کار بیکار شدن باید جواب پس بدن محا,"['اینا', 'ريیسی', 'نیاد', 'به', 'حول', 'میافتن', 'چون', 'میدونن', 'بعد', 'اینکه', 'از', 'کار', 'بیکار', 'شدن', 'باید', 'جواب', 'پس', 'بدن', 'محا']"
"RT @aboNietzsche: لاریجانی میخواد جای روحانی بشینه، مثل اینه که پراید بره کنار، جاش پراید پلاس بیاد!
#روحانی_پلاس
#روحانی_دوم https://t.co/…",لاریجانی میخواد جای روحانی بشینه مثل اینه که پراید بره کنار جاش پراید پلاس بیاد روحانی پلاس روحانی دوم,لاریجانی میخواد جای روحانی بشینه مثل اینه که پراید بره کنار جاش پراید پلاس بیاد روحانی پلاس روحانی دوم,"['لاریجانی', 'میخواد', 'جای', 'روحانی', 'بشینه', 'مثل', 'اینه', 'که', 'پراید', 'بره', 'کنار', 'جاش', 'پراید', 'پلاس', 'بیاد', 'روحانی', 'پلاس', 'روحانی', 'دوم']"
"@elaamordad چتری چقدر بهت میاد 
گفتی  چی شد ؟؟",چتری چقدر بهت میاد گفتی چی شد,چتری چقدر بهت میاد گفتی چی شد,"['چتری', 'چقدر', 'بهت', 'میاد', 'گفتی', 'چی', 'شد']"
@mhreza007 ساغول کیشی 😍,ساغول کیشی,ساغول کیشی,"['ساغول', 'کیشی']"
"اگه 4-5 سال پیش بود احتمالاََ الان رو ابرا بودم و بهترین دوران زندگیم بود. امّا خب ""دیر می‌شه"" دیگه. خیلی دیر.",اگه 45 سال پیش بود احتمالاََ الان رو ابرا بودم و بهترین دوران زندگیم بود امّا خب دیر می‌شه دیگه خیلی دیر,اگه 45 سال پیش بود احتمالاََ الان رو ابرا بودم و بهترین دوران زندگیم بود امّا خب دیر میشه دیگه خیلی دیر,"['اگه', '45', 'سال', 'پیش', 'بود', 'احتمالاََ', 'الان', 'رو', 'ابرا', 'بودم', 'و', 'بهترین', 'دوران', 'زندگیم', 'بود', 'امّا', 'خب', 'دیر', 'میشه', 'دیگه', 'خیلی', 'دیر']"
"آن دوست که من دارم 

وان یار که من دانم

#سعدی",آن دوست که من دارم وان یار که من دانم سعدی,آن دوست که من دارم وان یار که من دانم سعدی,"['آن', 'دوست', 'که', 'من', 'دارم', 'وان', 'یار', 'که', 'من', 'دانم', 'سعدی']"
@mamanekhaste فاااااااک 🤯,فاااااااک,فاااااااک,['فاااااااک']
"RT @pouyakarimi64: مرد اقدام و تحول  از هیچ تلاش و تکاپویی برای حل مشکلات اقشار ضعیف و آسیب پذیر فروگذار نخواهد کرد.
#اقدام_و_تحول
#محسن_رض…",مرد اقدام و تحول از هیچ تلاش و تکاپویی برای حل مشکلات اقشار ضعیف و آسیب پذیر فروگذار نخواهد کرد اقدام و تحول محسن رض,مرد اقدام و تحول از هیچ تلاش و تکاپویی برای حل مشکلات اقشار ضعیف و آسیب پذیر فروگذار نخواهد کرد اقدام و تحول محسن رض,"['مرد', 'اقدام', 'و', 'تحول', 'از', 'هیچ', 'تلاش', 'و', 'تکاپویی', 'برای', 'حل', 'مشکلات', 'اقشار', 'ضعیف', 'و', 'آسیب', 'پذیر', 'فروگذار', 'نخواهد_کرد', 'اقدام', 'و', 'تحول', 'محسن', 'رض']"
RT @Mohammadi790: اقتصاد قدرتمند همان اقتصادی است که در آن پدر، شرمنده فرزندانش نباشد، همان اقتصادی است که در آن مرد، شرمنده همسرش نباشد، ه…,اقتصاد قدرتمند همان اقتصادی است که در آن پدر شرمنده فرزندانش نباشد همان اقتصادی است که در آن مرد شرمنده همسرش نباشد ه,اقتصاد قدرتمند همان اقتصادی است که در آن پدر شرمنده فرزندانش نباشد همان اقتصادی است که در آن مرد شرمنده همسرش نباشد ه,"['اقتصاد', 'قدرتمند', 'همان', 'اقتصادی', 'است', 'که', 'در', 'آن', 'پدر', 'شرمنده', 'فرزندانش', 'نباشد', 'همان', 'اقتصادی', 'است', 'که', 'در', 'آن', 'مرد', 'شرمنده', 'همسرش', 'نباشد', 'ه']"
"RT @mahmoodkarimpou: اقتصاد پادگان یا دادگاه نیست اما جای فلسفه بافی بازی هم نیست.
#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_رضایی",اقتصاد پادگان یا دادگاه نیست اما جای فلسفه بافی بازی هم نیست آقا محسن ایران  اقدام و تحول  محسن رضایی,اقتصاد پادگان یا دادگاه نیست اما جای فلسفه بافی بازی هم نیست آقا محسن ایران  اقدام و تحول  محسن رضایی,"['اقتصاد', 'پادگان', 'یا', 'دادگاه', 'نیست', 'اما', 'جای', 'فلسفه', 'بافی', 'بازی', 'هم', 'نیست', 'آقا', 'محسن', 'ایران', 'اقدام', 'و', 'تحول', 'محسن', 'رضایی']"
"RT @Samin12: فاک دوباره انها رو تگ کردم😂😂😂
@TXT_bighit @TXT_members",فاک دوباره انها رو تگ کردم,فاک دوباره انها رو تگ کردم,"['فاک', 'دوباره', 'انها', 'رو', 'تگ', 'کردم']"
"RT @Sardar_Mhmd: سید مظلومان آمد...

#رئیسی_متشکریم https://t.co/2ZTOIbup62",سید مظلومان آمد رئیسی متشکریم,سید مظلومان آمد رئیسی متشکریم,"['سید', 'مظلومان', 'آمد', 'رئیسی', 'متشکریم']"
@VmpAida شاید بیبی فیسی من اصلا بیبی فیس نیستم :)),شاید بیبی فیسی من اصلا بیبی فیس نیستم,شاید بیبی فیسی من اصلا بیبی فیس نیستم,"['شاید', 'بیبی', 'فیسی', 'من', 'اصلا', 'بیبی', 'فیس', 'نیستم']"
RT @rassool1359: مدیر و اسپانسر اصلیِ پرسپولیس، همین سلطانیفر و آذری جهرمی هستن و الا چه دلیلی داره #تیم_حکومتی از مجیدی به خاطر اظهار نظر…,مدیر و اسپانسر اصلیِ پرسپولیس همین سلطانیفر و آذری جهرمی هستن و الا چه دلیلی داره  تیم حکومتی از مجیدی به خاطر اظهار نظر,مدیر و اسپانسر اصلیِ پرسپولیس همین سلطانیفر و آذری جهرمی هستن و الا چه دلیلی داره  تیم حکومتی از مجیدی به خاطر اظهار نظر,"['مدیر', 'و', 'اسپانسر', 'اصلیِ', 'پرسپولیس', 'همین', 'سلطانیفر', 'و', 'آذری', 'جهرمی', 'هستن', 'و', 'الا', 'چه', 'دلیلی', 'داره', 'تیم', 'حکومتی', 'از', 'مجیدی', 'به', 'خاطر', 'اظهار', 'نظر']"
"RT @sarbazv03167070: دولتی مردمی،ایرانی قوی
با تأمین اشتغال پایدار
#رئیسی_متشکریم https://t.co/tvEYIzBDfK",دولتی مردمیایرانی قویبا تأمین اشتغال پایدار رئیسی متشکریم,دولتی مردمیایرانی قویبا تأمین اشتغال پایدار رئیسی متشکریم,"['دولتی', 'مردمیایرانی', 'قویبا', 'تأمین', 'اشتغال', 'پایدار', 'رئیسی', 'متشکریم']"
"RT @IsraelPersian: بیا تا جهان را به بد نسپریم
به کوشش همه دست نیکی بریم
#فردوسی",بیا تا جهان را به بد نسپریمبه کوشش همه دست نیکی بریم فردوسی,بیا تا جهان را به بد نسپریمبه کوشش همه دست نیکی بریم فردوسی,"['بیا', 'تا', 'جهان', 'را', 'به', 'بد', 'نسپریمبه', 'کوشش', 'همه', 'دست', 'نیکی', 'بریم', 'فردوسی']"
"@Kurosh_nazari صلاحیت رد بشه 
ایران قیامت میشه",صلاحیت رد بشه ایران قیامت میشه,صلاحیت رد بشه ایران قیامت میشه,"['صلاحیت', 'رد', 'بشه', 'ایران', 'قیامت', 'میشه']"
"RT @Armin77022091: سرباز ایران آمد
#آقامحسن_ایران 
#محسن_رضایی
#اقدام_و_تحول https://t.co/q1PsDWq2TX",سرباز ایران آمد آقا محسن ایران  محسن رضایی اقدام و تحول,سرباز ایران آمد آقا محسن ایران  محسن رضایی اقدام و تحول,"['سرباز', 'ایران', 'آمد', 'آقا', 'محسن', 'ایران', 'محسن', 'رضایی', 'اقدام', 'و', 'تحول']"
@hussein_bin_ali داش ازاون خواهرا بما چیزی نرسه صددرصد حرامه توجهنمم باچوب منتظرتن ازمن گفتن😂👨‍🦯,داش ازاون خواهرا بما چیزی نرسه صددرصد حرامه توجهنمم باچوب منتظرتن ازمن گفتن‍,داش ازاون خواهرا بما چیزی نرسه صددرصد حرامه توجهنمم باچوب منتظرتن ازمن گفتن,"['داش', 'ازاون', 'خواهرا', 'بما', 'چیزی', 'نرسه', 'صددرصد', 'حرامه', 'توجهنمم', 'باچوب', 'منتظرتن', 'ازمن', 'گفتن']"
"RT @_gellers: وای موهاشو😭😭😭
کره رو لباسشو واهایی https://t.co/cb5k5d9baW",وای موهاشوکره رو لباسشو واهایی,وای موهاشوکره رو لباسشو واهایی,"['وای', 'موهاشوکره', 'رو', 'لباسشو', 'واهایی']"
"RT @YellowMinteu: هیچوقت جوابمونو سر این نداد ولی معلوم میشه.اسپویل بود.الان شاید جی و رن هم اسپویل کرده باشن
@TXT_members @TXT_bighit",هیچوقت جوابمونو سر این نداد ولی معلوم میشهاسپویل بودالان شاید جی و رن هم اسپویل کرده باشن,هیچوقت جوابمونو سر این نداد ولی معلوم میشهاسپویل بودالان شاید جی و رن هم اسپویل کرده باشن,"['هیچوقت', 'جوابمونو', 'سر', 'این', 'نداد', 'ولی', 'معلوم', 'میشهاسپویل', 'بودالان', 'شاید', 'جی', 'و', 'رن', 'هم', 'اسپویل', 'کرده', 'باشن']"
"RT @Doqae2: ::::::::::::::::

حضور مردم ایران در دوره های قبلی انتخابات در راهپیمایی های انقلابی  همه و همه نشان عشق ورزی به وطن ومیهن دوست…",حضور مردم ایران در دوره های قبلی انتخابات در راهپیمایی های انقلابی همه و همه نشان عشق ورزی به وطن ومیهن دوست,حضور مردم ایران در دوره های قبلی انتخابات در راهپیمایی های انقلابی همه و همه نشان عشق ورزی به وطن ومیهن دوست,"['حضور', 'مردم', 'ایران', 'در', 'دوره', 'های', 'قبلی', 'انتخابات', 'در', 'راهپیمایی', 'های', 'انقلابی', 'همه', 'و', 'همه', 'نشان', 'عشق', 'ورزی', 'به', 'وطن', 'ومیهن', 'دوست']"
@YaghoobiH مطالبه نداره و توانایی سرکوب به هر نوع حکومتی میده,مطالبه نداره و توانایی سرکوب به هر نوع حکومتی میده,مطالبه نداره و توانایی سرکوب به هر نوع حکومتی میده,"['مطالبه', 'نداره', 'و', 'توانایی', 'سرکوب', 'به', 'هر', 'نوع', 'حکومتی', 'میده']"
@khodetaraf در کل خیلی خودتون رو اذیت نکنید. دنیا ارزش غصه خوردن نداره,در کل خیلی خودتون رو اذیت نکنید دنیا ارزش غصه خوردن نداره,در کل خیلی خودتون رو اذیت نکنید دنیا ارزش غصه خوردن نداره,"['در', 'کل', 'خیلی', 'خودتون', 'رو', 'اذیت', 'نکنید', 'دنیا', 'ارزش', 'غصه', 'خوردن', 'نداره']"
RT @Imavogadro: فکر کنم تنها کسی هستم که این سگ با وفا رو فراموش نکردم https://t.co/QcPl5xhPCp,فکر کنم تنها کسی هستم که این سگ با وفا رو فراموش نکردم,فکر کنم تنها کسی هستم که این سگ با وفا رو فراموش نکردم,"['فکر', 'کنم', 'تنها', 'کسی', 'هستم', 'که', 'این', 'سگ', 'با', 'وفا', 'رو', 'فراموش', 'نکردم']"
"RT @Ariamehhr: .
پروستات ناقصی دارم ولی با همت خداوند خاورمیانه را به گوه کشیدم
 #HamasTerrorists https://t.co/YcASRRWLML",پروستات ناقصی دارم ولی با همت خداوند خاورمیانه را به گوه کشیدم  hamaseoiss,پروستات ناقصی دارم ولی با همت خداوند خاورمیانه را به گوه کشیدم  hamaseoiss,"['پروستات', 'ناقصی', 'دارم', 'ولی', 'با', 'همت', 'خداوند', 'خاورمیانه', 'را', 'به', 'گوه', 'کشیدم', 'hamaseoiss']"
"RT @mahboobeabbarin: @hani45608639 غلامحسین ساعدی
بهرام صادقی
صادق هدایت",غلامحسین ساعدیبهرام صادقیصادق هدایت,غلامحسین ساعدیبهرام صادقیصادق هدایت,"['غلامحسین', 'ساعدیبهرام', 'صادقیصادق', 'هدایت']"
@SY_Amirali اصلا تو جرئت داری به آخوندی رای ندی؟😒,اصلا تو جرئت داری به آخوندی رای ندی,اصلا تو جرئت داری به آخوندی رای ندی,"['اصلا', 'تو', 'جرئت', 'داری', 'به', 'آخوندی', 'رای', 'ندی']"
@ghandakiii @mahta994 عی بابا یادم رفت😂,عی بابا یادم رفت,عی بابا یادم رفت,"['عی', 'بابا', 'یادم', 'رفت']"
"RT @ms03253194: به دوستی که اگر زهر باشد از دستت

چنان به ذوق ارادت خورم که حلوا را

کسی ملامت وامق کند به نادانی

حبیب من که ندیدست روی عذ…",به دوستی که اگر زهر باشد از دستتچنان به ذوق ارادت خورم که حلوا راکسی ملامت وامق کند به نادانیحبیب من که ندیدست روی عذ,به دوستی که اگر زهر باشد از دستتچنان به ذوق ارادت خورم که حلوا راکسی ملامت وامق کند به نادانیحبیب من که ندیدست روی عذ,"['به', 'دوستی', 'که', 'اگر', 'زهر', 'باشد', 'از', 'دستتچنان', 'به', 'ذوق', 'ارادت', 'خورم', 'که', 'حلوا', 'راکسی', 'ملامت', 'وامق', 'کند', 'به', 'نادانیحبیب', 'من', 'که', 'ندیدست', 'روی', 'عذ']"
@Roya_parvaz0 سپاسگزارم... یاعلی,سپاسگزارم یاعلی,سپاسگزارم یاعلی,"['سپاسگزارم', 'یاعلی']"
"RT @SalehiSetin: محسن رضایی : برای کاهش فاصله پیشرفت کشور و زندگی مردم باید اختیارات استان ها را افزایش داد.
#اقدام_و_تحول
#آقامحسن_ایران…",محسن رضایی  برای کاهش فاصله پیشرفت کشور و زندگی مردم باید اختیارات استان ها را افزایش داد اقدام و تحول آقا محسن ایران,محسن رضایی  برای کاهش فاصله پیشرفت کشور و زندگی مردم باید اختیارات استان ها را افزایش داد اقدام و تحول آقا محسن ایران,"['محسن', 'رضایی', 'برای', 'کاهش', 'فاصله', 'پیشرفت', 'کشور', 'و', 'زندگی', 'مردم', 'باید', 'اختیارات', 'استان', 'ها', 'را', 'افزایش', 'داد', 'اقدام', 'و', 'تحول', 'آقا', 'محسن', 'ایران']"
@amir24ni بیش از حد میدونستی، باید حذف میشدی.,بیش از حد میدونستی باید حذف میشدی,بیش از حد میدونستی باید حذف میشدی,"['بیش', 'از', 'حد', 'میدونستی', 'باید', 'حذف', 'میشدی']"
"RT @KAIelephant2: یه فکت یهویی تو همین لحظه

@weareoneEXO @layzhang @B_hundred_Hyun https://t.co/SUKVRphntO",یه فکت یهویی تو همین لحظه,یه فکت یهویی تو همین لحظه,"['یه', 'فکت', 'یهویی', 'تو', 'همین', 'لحظه']"
RT @iam_zahra_: به نظرتون دلیل این همه زیاد شدن خیانت چیه؟,به نظرتون دلیل این همه زیاد شدن خیانت چیه,به نظرتون دلیل این همه زیاد شدن خیانت چیه,"['به', 'نظرتون', 'دلیل', 'این', 'همه', 'زیاد', 'شدن', 'خیانت', 'چیه']"
RT @RezaGanjali3: امروز حجت الاسلام رئیسی بلاخره به دعوتمان پاسخ داد و قدم مبارک را به عرصه انتخابات گذاشت ، اینَک زمان قلع و قمع فساد ، در…,امروز حجت الاسلام رئیسی بلاخره به دعوتمان پاسخ داد و قدم مبارک را به عرصه انتخابات گذاشت  اینَک زمان قلع و قمع فساد  در,امروز حجت الاسلام رئیسی بلاخره به دعوتمان پاسخ داد و قدم مبارک را به عرصه انتخابات گذاشت  اینَک زمان قلع و قمع فساد  در,"['امروز', 'حجت', 'الاسلام', 'رئیسی', 'بلاخره', 'به', 'دعوتمان', 'پاسخ', 'داد', 'و', 'قدم', 'مبارک', 'را', 'به', 'عرصه', 'انتخابات', 'گذاشت', 'اینَک', 'زمان', 'قلع', 'و', 'قمع', 'فساد', 'در']"
"RT @pouyakarimi64: #محسن_رضایی به عنوان یک اقتصاددان‌ با تجربه تنها گزینه ایران برای برون بست از مشکلات اقتصادی است.
#اقدام_و_تحول
#آقامحسن…",محسن رضایی به عنوان یک اقتصاددان‌ با تجربه تنها گزینه ایران برای برون بست از مشکلات اقتصادی است اقدام و تحول آقا محسن,محسن رضایی به عنوان یک اقتصاددان با تجربه تنها گزینه ایران برای برون بست از مشکلات اقتصادی است اقدام و تحول آقا محسن,"['محسن', 'رضایی', 'به', 'عنوان', 'یک', 'اقتصاددان', 'با', 'تجربه', 'تنها', 'گزینه', 'ایران', 'برای', 'برون', 'بست', 'از', 'مشکلات', 'اقتصادی', 'است', 'اقدام', 'و', 'تحول', 'آقا', 'محسن']"
"@iam_zahra_ @NegZam2 زیاده خواهی
اعتماد نداشتن بهم
چشم به هم چشمی
قانع نبودن به داشته هامون 
و اینکه متاسفانه قبح ا… https://t.co/4Mb3gZleM2",زیاده خواهیاعتماد نداشتن بهمچشم به هم چشمیقانع نبودن به داشته هامون و اینکه متاسفانه قبح ا,زیاده خواهیاعتماد نداشتن بهمچشم به هم چشمیقانع نبودن به داشته هامون و اینکه متاسفانه قبح ا,"['زیاده', 'خواهیاعتماد', 'نداشتن', 'بهمچشم', 'به', 'هم', 'چشمیقانع', 'نبودن', 'به', 'داشته', 'هامون', 'و', 'اینکه', 'متاسفانه', 'قبح', 'ا']"
RT @Navidbahadori4: یکی از دلایل عمده بی عملی و بی تفاوتی حاکم بر دستگاه اداری کشور این است که مسئولین دولت درکی از مشکلات مردم ندارند، با…,یکی از دلایل عمده بی عملی و بی تفاوتی حاکم بر دستگاه اداری کشور این است که مسئولین دولت درکی از مشکلات مردم ندارند با,یکی از دلایل عمده بی عملی و بی تفاوتی حاکم بر دستگاه اداری کشور این است که مسئولین دولت درکی از مشکلات مردم ندارند با,"['یکی', 'از', 'دلایل', 'عمده', 'بی', 'عملی', 'و', 'بی', 'تفاوتی', 'حاکم', 'بر', 'دستگاه', 'اداری', 'کشور', 'این', 'است', 'که', 'مسئولین', 'دولت', 'درکی', 'از', 'مشکلات', 'مردم', 'ندارند', 'با']"
RT @sabeti_twt: جهانگیری قبلا گفته بود سال90 به رهبری نامه نوشتم که الان وقتش هست مسئولین اقتصادی دولت احمدی نژاد به خاطر سه برابر شدن قیمت…,جهانگیری قبلا گفته بود سال90 به رهبری نامه نوشتم که الان وقتش هست مسئولین اقتصادی دولت احمدی نژاد به خاطر سه برابر شدن قیمت,جهانگیری قبلا گفته بود سال90 به رهبری نامه نوشتم که الان وقتش هست مسئولین اقتصادی دولت احمدی نژاد به خاطر سه برابر شدن قیمت,"['جهانگیری', 'قبلا', 'گفته_بود', 'سال', '90', 'به', 'رهبری', 'نامه', 'نوشتم', 'که', 'الان', 'وقتش', 'هست', 'مسئولین', 'اقتصادی', 'دولت', 'احمدی', 'نژاد', 'به', 'خاطر', 'سه', 'برابر', 'شدن', 'قیمت']"
@NiloofarHamedi لابد یه دلیل احمقانه جدید ابداع می‌کنن. 😉,لابد یه دلیل احمقانه جدید ابداع می‌کنن,لابد یه دلیل احمقانه جدید ابداع میکنن,"['لابد', 'یه', 'دلیل', 'احمقانه', 'جدید', 'ابداع', 'میکنن']"
@djsynthology 😂😂❤️❤️خیلیم عالی بودید و همچنان هستید,❤️❤️خیلیم عالی بودید و همچنان هستید,خیلیم عالی بودید و همچنان هستید,"['خیلیم', 'عالی', 'بودید', 'و', 'همچنان', 'هستید']"
@mmahdialn97 @Ha_Sadeghi موند مجلس، حداقل خیالمون از اون قوه راحت باشه.,موند مجلس حداقل خیالمون از اون قوه راحت باشه,موند مجلس حداقل خیالمون از اون قوه راحت باشه,"['موند', 'مجلس', 'حداقل', 'خیالمون', 'از', 'اون', 'قوه', 'راحت', 'باشه']"
"RT @Tarane_salehii: نبرد اقتصادی،  فرمانده کهنه کار با تخصص اقتصاد می خواهد.
#اقدام_و_تحول
#آقامحسن_ایران 
#محسن_رضایی",نبرد اقتصادی فرمانده کهنه کار با تخصص اقتصاد می خواهد اقدام و تحول آقا محسن ایران  محسن رضایی,نبرد اقتصادی فرمانده کهنه کار با تخصص اقتصاد می خواهد اقدام و تحول آقا محسن ایران  محسن رضایی,"['نبرد', 'اقتصادی', 'فرمانده', 'کهنه', 'کار', 'با', 'تخصص', 'اقتصاد', 'می', 'خواهد_اقدام', 'و', 'تحول', 'آقا', 'محسن', 'ایران', 'محسن', 'رضایی']"
@MH_kermani عزیزمی😊😊,عزیزمی,عزیزمی,['عزیزمی']
یعنی شلنگ رو گرفته بود روی لاریجانی🥴🥴🥴,یعنی شلنگ رو گرفته بود روی لاریجانی,یعنی شلنگ رو گرفته بود روی لاریجانی,"['یعنی', 'شلنگ', 'رو', 'گرفته_بود', 'روی', 'لاریجانی']"
"@chensmile8022 @weareoneEXO @B_hundred_Hyun @layzhang چرا؟😂
چن روزه می خوام اکانتتو بپرسم ولی هیچ کدوم از توییتات ی… https://t.co/6gCimoqKfV",چراچن روزه می خوام اکانتتو بپرسم ولی هیچ کدوم از توییتات ی,چراچن روزه می خوام اکانتتو بپرسم ولی هیچ کدوم از توییتات ی,"['چراچن', 'روزه', 'می', 'خوام', 'اکانتتو', 'بپرسم', 'ولی', 'هیچ', 'کدوم', 'از', 'توییتات', 'ی']"
RT @honyblack1997: صباو صباها آغازگر انقلابی زنانه هستن که با سلاح جان در برابر دشمنی تمامیت خواه ایستادگی کرده چرا که قوانین این تمامیت خو…,صباو صباها آغازگر انقلابی زنانه هستن که با سلاح جان در برابر دشمنی تمامیت خواه ایستادگی کرده چرا که قوانین این تمامیت خو,صباو صباها آغازگر انقلابی زنانه هستن که با سلاح جان در برابر دشمنی تمامیت خواه ایستادگی کرده چرا که قوانین این تمامیت خو,"['صباو', 'صباها', 'آغازگر', 'انقلابی', 'زنانه', 'هستن', 'که', 'با', 'سلاح', 'جان', 'در', 'برابر', 'دشمنی', 'تمامیت', 'خواه', 'ایستادگی', 'کرده', 'چرا', 'که', 'قوانین', 'این', 'تمامیت', 'خو']"
"سوریه و لبنان و عراق و ایران یه یا علی بگن دسته جمعی
 و یه همتی کنندکه انشاالله قرن جدید قرن بی اسقاطیل باشد",سوریه و لبنان و عراق و ایران یه یا علی بگن دسته جمعی و یه همتی کنندکه انشاالله قرن جدید قرن بی اسقاطیل باشد,سوریه و لبنان و عراق و ایران یه یا علی بگن دسته جمعی و یه همتی کنندکه انشاالله قرن جدید قرن بی اسقاطیل باشد,"['سوریه', 'و', 'لبنان', 'و', 'عراق', 'و', 'ایران', 'یه', 'یا', 'علی', 'بگن', 'دسته', 'جمعی', 'و', 'یه', 'همتی', 'کنندکه', 'انشاالله', 'قرن', 'جدید', 'قرن', 'بی', 'اسقاطیل', 'باشد']"
@Yalniz_Yildiz_ گمش کردم.دیدم میفرستم,گمش کردمدیدم میفرستم,گمش کردمدیدم میفرستم,"['گمش', 'کردمدیدم', 'میفرستم']"
@ftmsssss یا فاطمه😂,یا فاطمه,یا فاطمه,"['یا', 'فاطمه']"
@sarvenaz1400 اتمام موجودیه قیمتشو برداشتن,اتمام موجودیه قیمتشو برداشتن,اتمام موجودیه قیمتشو برداشتن,"['اتمام', 'موجودیه', 'قیمتشو', 'برداشتن']"
